TABELA,CIDADE,REGIÃO
RS - INTERIOR,MORRO REDONDO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,CAPÃO DO LEÃO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,ARAMBARE,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,CAMAQUA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,DOM FELICIANO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,CRISTAL,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,RIO GRANDE (VER CEP POR LOGRADOUROS),DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SÃO JOSÉ DO NORTE,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SANTA VITÓRIA DO PALMAR,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,MOSTARDAS,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,TAVARES,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,JAGUARÃO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,HERVAL,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,ARROIO GRANDE,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,PEDRO OSÓRIO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,BAGE (VER CEP POR LOGRADOUROS),DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,DOM PEDRITO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,HULHA NEGRA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,PINHEIRO MACHADO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,PIRATINI,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,CANDIOTA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,CACHOEIRA DO SUL (VER CEP POR LOGRADOUROS),DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,PARAISO DO SUL,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,CERRO BRANCO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,AGUDO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,CAÇAPAVA DO SUL,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SANTANA DA BOA VISTA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,CANGUÇU,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,ENCRUZILHADA DO SUL,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,AMARAL FERRADOR,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,RIO PARDO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,PASSO DO SOBRADO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,PANTANO GRANDE,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SÃO JERONIMO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,BARÃO DO TRIUNFO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,ARROIO DOS RATOS,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,CHARQUEADAS,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,BUTIA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,MINAS DO LEÃO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,TAPES,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SENTINELA DO SUL,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,CERRO GRANDE DO SUL,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,BARRA DO RIBEIRO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SANTA CRUZ DO SUL (VER CEP POR LOGRADOUROS),DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,GRAMADO XAVIER,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,VALE DO SOL,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,VERA CRUZ,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SINIMBU,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SOBRADINHO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SEGREDO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,IBARAMA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,CANDELÁRIA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,ARROIO DO TIGRE,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SANTA MARIA (VER CEP POR LOGRADOUROS),DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SÃO MARTINHO DA SERRA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SILVEIRA MARTINS,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,RESTINGA SECA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,FORMIGUEIRO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,FAXINAL DO SOTURNO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SÃO JOÃO DO POLESINE,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,NOVA PALMA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,DONA FRANCISCA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SÃO GABRIEL,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SÃO SEPE,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,VILA NOVA DO SUL,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,LAVRAS DO SUL,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SÃO PEDRO DO SUL,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,MATA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SÃO VICENTE DO SUL,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,CACEQUI,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,URUGUAIANA (VER CEP POR LOGRADOUROS),DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,ALEGRETE (VER CEP POR LOGRADOUROS),DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,QUARAI,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SANTANA DO LIVRAMENTO (VER CEP POR LOGRADOUROS,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,ROSARIO DO SUL,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SÃO FRANCISCO DE ASSIS,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,MANOEL VIANA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,ITAQUI,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SÃO BORJA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,ITACURUBI,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,GARRUCHOS,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SANTIAGO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,JAGUARI,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,NOVA ESPERANCA DO SUL,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SÃO LUIZ GONZAGA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,DEZESSEIS DE NOVEMBRO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,BOSSOROCA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SANTO ANTONIO DAS MISSÕES,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SÃO NICOLAU,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,PIRAPO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,CERRO LARGO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SÃO PEDRO DO BUTIA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,CAIBATE,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SALVADOR DAS MISSOES,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,GUARANI DAS MISSOES,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,ROQUE GONZALES,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SÃO PAULO DAS MISSOES,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,CRUZ ALTA (VER CEP POR LOGRADOUROS),DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,FORTALEZA DOS VALOS,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,JULIO DE CASTILHOS,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,QUEVEDOS,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,PINHAL GRANDE,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,IVORA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,TUPANCIRETA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,JOIA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,IBIRUBA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,QUINZE DE NOVEMBRO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SANTA BARBARA DO SUL,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SALDANHA MARINHO,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,PEJUCARA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,PANAMBI,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,CONDOR,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,PALMEIRA DAS MISSÕES,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,LAJEADO DO BUGRE,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SÃO JOSÉ DAS MISSÕES,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
RS - INTERIOR,SAGRADA FAMILIA,DEMAIS REGIÕES/INTERIOR - RIO GRANDE DO SUL
